PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1850000,920054,211,70,555010,2020-10-28 13:44:45.815069
1790000,1078054,215,56,555010,2020-10-28 13:44:45.825069
1767000,917332,206,66,555010,2020-10-28 13:44:45.835069
1863000,932110,207,61,555010,2020-10-28 13:44:45.845069
1580000,960054,211,67,555010,2020-10-28 13:44:45.855069
1760000,1032332,215,72,555010,2020-10-28 13:44:45.865069
1570000,1023776,210,61,555010,2020-10-28 13:44:45.875069
1710000,1049054,209,64,555010,2020-10-28 13:44:45.885069
2240000,996888,226,89,555010,2020-10-28 13:44:45.895069
1560000,908054,205,68,555010,2020-10-28 13:44:45.905069
2100000,962332,218,75,555010,2020-10-28 13:44:45.915069
1540000,743220,194,53,555010,2020-10-28 13:44:45.925069
1189000,704332,181,61,555010,2020-10-28 13:44:45.935069
1710000,1108054,215,60,555010,2020-10-28 13:44:45.945069
2140000,1118610,225,70,555010,2020-10-28 13:44:45.955069
1670000,876054,207,60,555010,2020-10-28 13:44:45.965069
2110000,967888,228,77,555010,2020-10-28 13:44:45.975069
2080000,1104332,220,71,555010,2020-10-28 13:44:45.985069
1760000,1013776,210,65,555010,2020-10-28 13:44:45.995069
1950000,1066610,223,69,555010,2020-10-28 13:44:46.005069
2470000,1166166,235,82,555010,2020-10-28 13:44:46.015069
2110000,1038610,223,74,555010,2020-10-28 13:44:46.025069
1580000,943776,206,57,555010,2020-10-28 13:44:46.035069
1900000,1014332,220,77,555010,2020-10-28 13:44:46.045069
1751000,981532,205,65,555010,2020-10-28 13:44:46.055069
1840000,934776,210,62,555010,2020-10-28 13:44:46.065069
1900000,989054,215,60,555010,2020-10-28 13:44:46.075069
1860000,1119054,215,64,555010,2020-10-28 13:44:46.085069
1429000,943054,204,55,555010,2020-10-28 13:44:46.095069
1930000,1111332,220,67,555010,2020-10-28 13:44:46.105069
1870000,1001332,218,74,555010,2020-10-28 13:44:46.115069
1590000,1011498,205,59,555010,2020-10-28 13:44:46.125069
2220000,1115610,225,69,555010,2020-10-28 13:44:46.135069
1300000,929498,203,56,555010,2020-10-28 13:44:46.145069
1930000,1064332,218,77,555010,2020-10-28 13:44:46.155069
2250000,1140888,230,84,555010,2020-10-28 13:44:46.165069
1901000,907366,204,70,555010,2020-10-28 13:44:46.175069
1950000,1020054,213,74,555010,2020-10-28 13:44:46.185069
1870000,970332,216,74,555010,2020-10-28 13:44:46.195069
2078000,1058166,224,80,555010,2020-10-28 13:44:46.205069
1830000,1022332,218,62,555010,2020-10-28 13:44:46.215069
1610000,971776,208,51,555010,2020-10-28 13:44:46.225069
1741000,909110,194,59,555010,2020-10-28 13:44:46.235069
1894000,936610,203,71,555010,2020-10-28 13:44:46.245069
1780000,972610,214,78,555010,2020-10-28 13:44:46.255069
1730000,1070054,215,66,555010,2020-10-28 13:44:46.265069
1360000,911498,199,49,555010,2020-10-28 13:44:46.275069
1262000,733352,182,56,555010,2020-10-28 13:44:46.285069
1757000,844332,202,55,555010,2020-10-28 13:44:46.295069
2130000,1108610,225,86,555010,2020-10-28 13:44:46.305069
2160000,1076610,223,70,555010,2020-10-28 13:44:46.315069
1940000,978054,211,64,555010,2020-10-28 13:44:46.325069
1400000,1015776,210,47,555010,2020-10-28 13:44:46.335069
1610000,889498,196,60,555010,2020-10-28 13:44:46.345069
1674000,875332,195,65,555010,2020-10-28 13:44:46.355069
2060000,1066332,220,74,555010,2020-10-28 13:44:46.365069
1270000,840054,200,60,555010,2020-10-28 13:44:46.375069
2090000,959332,218,77,555010,2020-10-28 13:44:46.385069
1230010,797776,185,48,555010,2020-10-28 13:44:46.395069
1540010,749334,197,77,555010,2020-10-28 13:44:46.405069
1860000,1048054,215,63,555010,2020-10-28 13:44:46.415069
1713000,941810,210,62,555010,2020-10-28 13:44:46.425069
1990000,1106332,220,62,555010,2020-10-28 13:44:46.435069
1580000,873776,204,58,555010,2020-10-28 13:44:46.445069
1885000,975110,214,75,555010,2020-10-28 13:44:46.455069
2340000,1145610,225,83,555010,2020-10-28 13:44:46.465069
1870000,999610,214,75,555010,2020-10-28 13:44:46.475069
1794000,987610,208,66,555010,2020-10-28 13:44:46.485069
1810000,972054,209,62,555010,2020-10-28 13:44:46.495069
2000000,1068610,223,69,555010,2020-10-28 13:44:46.505069
1430000,904776,200,66,555010,2020-10-28 13:44:46.515069
1590000,948054,211,75,555010,2020-10-28 13:44:46.525069
1520000,1023776,210,67,555010,2020-10-28 13:44:46.535069
1660000,915776,208,55,555010,2020-10-28 13:44:46.545069
1340010,756054,192,61,555010,2020-10-28 13:44:46.555069
1550000,863776,204,55,555010,2020-10-28 13:44:46.565069
1660000,856054,207,68,555010,2020-10-28 13:44:46.575069
1850000,979054,215,63,555010,2020-10-28 13:44:46.585069
2420000,1142888,230,77,555010,2020-10-28 13:44:46.595069
1380000,935776,201,69,555010,2020-10-28 13:44:46.605069
1600000,1014776,208,66,555010,2020-10-28 13:44:46.615069
1890000,988054,215,71,555010,2020-10-28 13:44:46.625069
1780000,1045776,210,60,555010,2020-10-28 13:44:46.635069
1280000,789498,195,51,555010,2020-10-28 13:44:46.645069
1460000,930498,201,51,555010,2020-10-28 13:44:46.655069
2150000,1110888,228,76,555010,2020-10-28 13:44:46.665069
1760000,895776,208,64,555010,2020-10-28 13:44:46.675069
2100000,976610,223,70,555010,2020-10-28 13:44:46.685069
1740000,1060054,210,62,555010,2020-10-28 13:44:46.695069
2090000,1066332,218,69,555010,2020-10-28 13:44:46.705069
1710000,1024776,210,57,555010,2020-10-28 13:44:46.715069
1385000,735074,192,62,555010,2020-10-28 13:44:46.725069
1730000,1047054,215,62,555010,2020-10-28 13:44:46.735069
1660000,961498,200,40,555010,2020-10-28 13:44:46.745069
1930000,1064332,218,83,555010,2020-10-28 13:44:46.755069
1590000,1020054,211,67,555010,2020-10-28 13:44:46.765069
1820000,920332,214,72,555010,2020-10-28 13:44:46.775069
1285000,694054,194,64,555010,2020-10-28 13:44:46.785069
1445000,889054,198,65,555010,2020-10-28 13:44:46.795069
1620000,1090054,210,64,555010,2020-10-28 13:44:46.805069
2190000,948888,226,85,555010,2020-10-28 13:44:46.815069
1690000,993776,205,65,555010,2020-10-28 13:44:46.825069
1500000,802054,200,66,555010,2020-10-28 13:44:46.835069
2390000,1136610,225,77,555010,2020-10-28 13:44:46.845069
1928000,945888,208,73,555010,2020-10-28 13:44:46.855069
1790000,1044776,210,62,555010,2020-10-28 13:44:46.865069
1950000,1090054,215,54,555010,2020-10-28 13:44:46.875069
1371000,919054,198,48,555010,2020-10-28 13:44:46.885069
1530000,1006054,209,72,555010,2020-10-28 13:44:46.895069
1910000,1050332,218,68,555010,2020-10-28 13:44:46.905069
1954000,928890,206,74,555010,2020-10-28 13:44:46.915069
1530000,765332,202,64,555010,2020-10-28 13:44:46.925069
2130000,1046610,225,67,555010,2020-10-28 13:44:46.935069
1799000,871332,207,70,555010,2020-10-28 13:44:46.945069
1770000,963776,210,48,555010,2020-10-28 13:44:46.955069
1950000,1073332,218,69,555010,2020-10-28 13:44:46.965069
1340000,816776,193,58,555010,2020-10-28 13:44:46.975069
1720000,1015776,210,55,555010,2020-10-28 13:44:46.985069
1294000,842778,188,58,555010,2020-10-28 13:44:46.995069
1760000,980054,207,55,555010,2020-10-28 13:44:47.005069
1589000,903054,206,52,555010,2020-10-28 13:44:47.015069
1610000,963776,205,56,555010,2020-10-28 13:44:47.025069
1730000,910054,205,68,555010,2020-10-28 13:44:47.035069
1809000,865332,207,65,555010,2020-10-28 13:44:47.045069
1850000,977776,210,59,555010,2020-10-28 13:44:47.055069
1750000,932776,208,53,555010,2020-10-28 13:44:47.065069
1980000,1114610,225,72,555010,2020-10-28 13:44:47.075069
1890000,1020332,218,71,555010,2020-10-28 13:44:47.085069
2050000,1050610,223,78,555010,2020-10-28 13:44:47.095069
1960000,1134332,220,63,555010,2020-10-28 13:44:47.105069
1720000,969498,203,56,555010,2020-10-28 13:44:47.115069
1370000,981498,199,46,555010,2020-10-28 13:44:47.125069
1595000,819630,201,77,555010,2020-10-28 13:44:47.135069
2040000,1097610,225,68,555010,2020-10-28 13:44:47.145069
1308000,732498,194,46,555010,2020-10-28 13:44:47.155069
1390000,901498,197,61,555010,2020-10-28 13:44:47.165069
1670000,1054776,210,62,555010,2020-10-28 13:44:47.175069
1450000,1003776,206,59,555010,2020-10-28 13:44:47.185069
1460000,1065776,208,58,555010,2020-10-28 13:44:47.195069
1830000,988054,213,63,555010,2020-10-28 13:44:47.205069
1790000,1000054,215,61,555010,2020-10-28 13:44:47.215069
1160000,695776,193,60,555010,2020-10-28 13:44:47.225069
1730000,786610,207,69,555010,2020-10-28 13:44:47.235069
2430000,1108888,230,81,555010,2020-10-28 13:44:47.245069
1740000,869332,205,68,555010,2020-10-28 13:44:47.255069
1799000,954888,217,76,555010,2020-10-28 13:44:47.265069
2220000,1098610,225,75,555010,2020-10-28 13:44:47.275069
1630000,891776,208,53,555010,2020-10-28 13:44:47.285069
1888000,930388,205,66,555010,2020-10-28 13:44:47.295069
1600000,888498,200,47,555010,2020-10-28 13:44:47.305069
1700000,1023776,205,60,555010,2020-10-28 13:44:47.315069
1770000,1034776,210,62,555010,2020-10-28 13:44:47.325069
1847000,997332,204,69,555010,2020-10-28 13:44:47.335069
1536000,802366,193,64,555010,2020-10-28 13:44:47.345069
1360000,891498,198,64,555010,2020-10-28 13:44:47.355069
1990000,1098610,225,76,555010,2020-10-28 13:44:47.365069
2130000,1069888,230,85,555010,2020-10-28 13:44:47.375069
2010000,1077610,223,76,555010,2020-10-28 13:44:47.385069
1820000,1050054,213,60,555010,2020-10-28 13:44:47.395069
1680000,1017054,213,68,555010,2020-10-28 13:44:47.405069
2110000,1056610,223,75,555010,2020-10-28 13:44:47.415069
1544000,892332,200,68,555010,2020-10-28 13:44:47.425069
1490000,975776,208,58,555010,2020-10-28 13:44:47.435069
1770000,985776,208,66,555010,2020-10-28 13:44:47.445069
2149000,1054888,219,73,555010,2020-10-28 13:44:47.455069
2060000,1029610,225,71,555010,2020-10-28 13:44:47.465069
1380000,1001498,199,55,555010,2020-10-28 13:44:47.475069
1814000,926110,208,68,555010,2020-10-28 13:44:47.485069
1934000,1020388,214,69,555010,2020-10-28 13:44:47.495069
1898000,892888,213,72,555010,2020-10-28 13:44:47.505069
1683000,961332,204,58,555010,2020-10-28 13:44:47.515069
1780000,968054,215,75,555010,2020-10-28 13:44:47.525069
1670000,969054,211,74,555010,2020-10-28 13:44:47.535069
1750000,1023776,210,63,555010,2020-10-28 13:44:47.545069
1841000,998908,208,73,555010,2020-10-28 13:44:47.555069
1923000,995888,215,74,555010,2020-10-28 13:44:47.565069
1790000,1006054,213,65,555010,2020-10-28 13:44:47.575069
1470000,995776,208,52,555010,2020-10-28 13:44:47.585069
2130000,1038610,223,76,555010,2020-10-28 13:44:47.595069
1720000,1028054,213,64,555010,2020-10-28 13:44:47.605069
1440000,1033776,205,52,555010,2020-10-28 13:44:47.615069
1880000,1054332,220,67,555010,2020-10-28 13:44:47.625069
1810000,1033332,220,67,555010,2020-10-28 13:44:47.635069
1880000,1086332,215,63,555010,2020-10-28 13:44:47.645069
1694000,841810,207,73,555010,2020-10-28 13:44:47.655069
1320000,851054,198,61,555010,2020-10-28 13:44:47.665069
1380000,993776,205,60,555010,2020-10-28 13:44:47.675069
2200000,1063332,218,79,555010,2020-10-28 13:44:47.685069
935000,790498,183,50,555010,2020-10-28 13:44:47.695069
1848000,933054,199,62,555010,2020-10-28 13:44:47.705069
2090000,1000332,218,66,555010,2020-10-28 13:44:47.715069
1320000,794054,203,69,555010,2020-10-28 13:44:47.725069
2140000,1038610,221,76,555010,2020-10-28 13:44:47.735069
1661000,858352,204,63,555010,2020-10-28 13:44:47.745069
1750000,930054,209,77,555010,2020-10-28 13:44:47.755069
1760000,1010054,215,55,555010,2020-10-28 13:44:47.765069
1890000,906610,217,86,555010,2020-10-28 13:44:47.775069
1770000,1079054,215,60,555010,2020-10-28 13:44:47.785069
2090000,1090610,225,72,555010,2020-10-28 13:44:47.795069
1450000,1002776,208,60,555010,2020-10-28 13:44:47.805069
1468000,927332,205,53,555010,2020-10-28 13:44:47.815069
1860000,1042610,221,74,555010,2020-10-28 13:44:47.825069
1820000,1005776,208,59,555010,2020-10-28 13:44:47.835069
1910000,1109054,215,61,555010,2020-10-28 13:44:47.845069
1084000,871498,183,54,555010,2020-10-28 13:44:47.855069
1670000,966054,211,67,555010,2020-10-28 13:44:47.865069
1431000,845056,195,53,555010,2020-10-28 13:44:47.875069
1950000,1120054,215,59,555010,2020-10-28 13:44:47.885069
1674000,969832,203,75,555010,2020-10-28 13:44:47.895069
1379000,767498,195,53,555010,2020-10-28 13:44:47.905069
1710000,1063776,206,63,555010,2020-10-28 13:44:47.915069
1555000,966332,204,57,555010,2020-10-28 13:44:47.925069
