PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1640000,983776,208,61,555007,2020-10-28 13:44:27.945670
1660000,927776,206,60,555007,2020-10-28 13:44:27.955670
1733000,906610,208,68,555007,2020-10-28 13:44:27.965670
1660000,840332,212,78,555007,2020-10-28 13:44:27.975670
2070000,976610,217,76,555007,2020-10-28 13:44:27.985670
1890000,932332,214,75,555007,2020-10-28 13:44:27.995670
2250000,1141888,230,76,555007,2020-10-28 13:44:28.005670
1590000,1045776,210,60,555007,2020-10-28 13:44:28.015670
1627000,845610,201,73,555007,2020-10-28 13:44:28.025670
1344000,876554,198,57,555007,2020-10-28 13:44:28.035670
1950000,1093332,220,73,555007,2020-10-28 13:44:28.045670
2330000,1022444,227,85,555007,2020-10-28 13:44:28.055670
1580000,933776,203,62,555007,2020-10-28 13:44:28.065670
1500000,929498,203,52,555007,2020-10-28 13:44:28.075670
1700000,1023776,208,63,555007,2020-10-28 13:44:28.085670
1590000,899498,203,64,555007,2020-10-28 13:44:28.095670
1820000,1041054,215,70,555007,2020-10-28 13:44:28.105670
1650000,988054,208,72,555007,2020-10-28 13:44:28.115670
1570000,848054,202,68,555007,2020-10-28 13:44:28.125670
1400000,732332,203,70,555007,2020-10-28 13:44:28.135670
2030000,972332,214,68,555007,2020-10-28 13:44:28.145670
1205000,838998,188,55,555007,2020-10-28 13:44:28.155670
1720000,998054,213,62,555007,2020-10-28 13:44:28.165670
1178000,872498,190,47,555007,2020-10-28 13:44:28.175670
1534000,869832,200,62,555007,2020-10-28 13:44:28.185670
1370000,1031498,203,60,555007,2020-10-28 13:44:28.195670
1610000,986054,209,65,555007,2020-10-28 13:44:28.205670
1988000,972610,214,78,555007,2020-10-28 13:44:28.215670
2210000,1100888,226,80,555007,2020-10-28 13:44:28.225670
1700000,948054,209,72,555007,2020-10-28 13:44:28.235670
1700000,1009054,213,60,555007,2020-10-28 13:44:28.245670
1810000,1052332,218,71,555007,2020-10-28 13:44:28.255670
1980000,1011332,218,72,555007,2020-10-28 13:44:28.265670
2060000,940054,211,76,555007,2020-10-28 13:44:28.275670
1860000,987776,208,68,555007,2020-10-28 13:44:28.285670
1850000,987054,213,55,555007,2020-10-28 13:44:28.295670
2250000,1168888,230,81,555007,2020-10-28 13:44:28.305670
1730000,990054,207,66,555007,2020-10-28 13:44:28.315670
1470000,881776,198,62,555007,2020-10-28 13:44:28.325670
1869000,934610,208,67,555007,2020-10-28 13:44:28.335670
1970000,990332,220,70,555007,2020-10-28 13:44:28.345670
1114110,595332,165,51,555007,2020-10-28 13:44:28.355670
1658000,857332,206,74,555007,2020-10-28 13:44:28.365670
1490000,974776,202,51,555007,2020-10-28 13:44:28.375670
1481000,885776,192,56,555007,2020-10-28 13:44:28.385670
2300000,1128166,233,87,555007,2020-10-28 13:44:28.395670
2040000,1000054,215,55,555007,2020-10-28 13:44:28.405670
1240000,861498,200,58,555007,2020-10-28 13:44:28.415670
1530000,947054,209,62,555007,2020-10-28 13:44:28.425670
2240000,1116610,225,64,555007,2020-10-28 13:44:28.435670
1678000,937610,207,68,555007,2020-10-28 13:44:28.445670
1590000,942776,208,56,555007,2020-10-28 13:44:28.455670
2120000,1115610,225,75,555007,2020-10-28 13:44:28.465670
1690000,1012054,207,67,555007,2020-10-28 13:44:28.475670
2000000,1092332,220,73,555007,2020-10-28 13:44:28.485670
1590000,927776,208,58,555007,2020-10-28 13:44:28.495670
1860000,1122332,220,69,555007,2020-10-28 13:44:28.505670
1414000,836254,198,57,555007,2020-10-28 13:44:28.515670
1520000,1095776,210,44,555007,2020-10-28 13:44:28.525670
1718000,1001610,210,68,555007,2020-10-28 13:44:28.535670
