PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1595000,849332,205,69,555002,2020-10-28 13:43:58.479232
1408000,820332,198,51,555002,2020-10-28 13:43:58.489232
1770000,926054,213,56,555002,2020-10-28 13:43:58.499232
1760000,1002332,216,72,555002,2020-10-28 13:43:58.509232
1850000,957054,213,59,555002,2020-10-28 13:43:58.519232
1720000,999054,209,56,555002,2020-10-28 13:43:58.529232
1240100,743056,192,58,555002,2020-10-28 13:43:58.539232
1810000,858610,209,64,555002,2020-10-28 13:43:58.549232
1734000,854630,199,78,555002,2020-10-28 13:43:58.559232
1850000,950332,216,80,555002,2020-10-28 13:43:58.569232
1800000,962332,216,67,555002,2020-10-28 13:43:58.579232
1770000,1010054,211,66,555002,2020-10-28 13:43:58.589232
1520000,866054,203,70,555002,2020-10-28 13:43:58.599232
1340000,744610,189,63,555002,2020-10-28 13:43:58.609232
2420000,1127444,236,90,555002,2020-10-28 13:43:58.619232
1900000,1085332,220,63,555002,2020-10-28 13:43:58.629232
1377000,776776,186,51,555002,2020-10-28 13:43:58.639232
2320000,1131888,230,84,555002,2020-10-28 13:43:58.649232
1860000,1030054,215,64,555002,2020-10-28 13:43:58.659232
1613000,979332,204,65,555002,2020-10-28 13:43:58.669232
1900000,1000332,215,70,555002,2020-10-28 13:43:58.679232
1710000,912332,212,71,555002,2020-10-28 13:43:58.689232
1853000,1007088,212,72,555002,2020-10-28 13:43:58.699232
1910000,1049054,215,64,555002,2020-10-28 13:43:58.709232
2210000,1162888,230,79,555002,2020-10-28 13:43:58.719232
2140000,1099888,228,84,555002,2020-10-28 13:43:58.729232
1530000,934776,206,60,555002,2020-10-28 13:43:58.739232
1980000,890332,218,75,555002,2020-10-28 13:43:58.749232
2480000,1176166,235,82,555002,2020-10-28 13:43:58.759232
1518000,943776,198,59,555002,2020-10-28 13:43:58.769232
1810000,1032332,216,68,555002,2020-10-28 13:43:58.779232
1580000,1015776,210,54,555002,2020-10-28 13:43:58.789232
2010000,1005610,219,79,555002,2020-10-28 13:43:58.799232
1780000,1000054,209,63,555002,2020-10-28 13:43:58.809232
1650000,1041498,203,62,555002,2020-10-28 13:43:58.819232
2085000,1021166,224,80,555002,2020-10-28 13:43:58.829232
1306000,789054,186,56,555002,2020-10-28 13:43:58.839232
2010000,998610,219,83,555002,2020-10-28 13:43:58.849232
2020000,1127610,225,69,555002,2020-10-28 13:43:58.859232
1568000,932054,195,55,555002,2020-10-28 13:43:58.869232
1119000,737054,194,62,555002,2020-10-28 13:43:58.879232
1670000,1011498,203,54,555002,2020-10-28 13:43:58.889232
1770000,1105776,210,56,555002,2020-10-28 13:43:58.899232
1687000,894054,198,58,555002,2020-10-28 13:43:58.909232
