PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1770000,1042332,214,68,555003,2020-10-28 13:44:04.679235
1910000,1106610,221,77,555003,2020-10-28 13:44:04.689235
1520000,978054,208,59,555003,2020-10-28 13:44:04.699235
1980000,1089332,220,68,555003,2020-10-28 13:44:04.709235
2160000,1019888,230,72,555003,2020-10-28 13:44:04.719235
1600000,963776,203,58,555003,2020-10-28 13:44:04.729235
1700000,1024776,208,56,555003,2020-10-28 13:44:04.739235
2080000,1087610,223,74,555003,2020-10-28 13:44:04.749235
1460000,1001498,205,65,555003,2020-10-28 13:44:04.759235
1778000,931610,209,65,555003,2020-10-28 13:44:04.769235
1900000,1094332,220,66,555003,2020-10-28 13:44:04.779235
1860000,1024332,214,66,555003,2020-10-28 13:44:04.789235
1620000,1001498,205,47,555003,2020-10-28 13:44:04.799235
1184000,711832,190,62,555003,2020-10-28 13:44:04.809235
1230000,843776,200,67,555003,2020-10-28 13:44:04.819235
2170000,1136610,225,67,555003,2020-10-28 13:44:04.829235
2060000,1078610,225,71,555003,2020-10-28 13:44:04.839235
1920000,1109054,215,63,555003,2020-10-28 13:44:04.849235
1860000,1006332,218,69,555003,2020-10-28 13:44:04.859235
2039000,932888,217,72,555003,2020-10-28 13:44:04.869235
1484000,875054,195,52,555003,2020-10-28 13:44:04.879235
1650000,936054,213,64,555003,2020-10-28 13:44:04.889235
2490000,1196444,240,90,555003,2020-10-28 13:44:04.899235
2100000,1088610,225,72,555003,2020-10-28 13:44:04.909235
1730000,995776,210,57,555003,2020-10-28 13:44:04.919235
1397000,820776,191,43,555003,2020-10-28 13:44:04.929235
2200000,1058610,225,73,555003,2020-10-28 13:44:04.939235
1067000,672054,176,57,555003,2020-10-28 13:44:04.949235
1700000,940054,211,65,555003,2020-10-28 13:44:04.959235
2100000,1141888,230,77,555003,2020-10-28 13:44:04.969235
2220000,1104888,228,78,555003,2020-10-28 13:44:04.979235
1760000,906054,211,76,555003,2020-10-28 13:44:04.989235
1630000,890054,207,66,555003,2020-10-28 13:44:04.999235
1680000,985776,208,55,555003,2020-10-28 13:44:05.009235
1950000,1052332,216,74,555003,2020-10-28 13:44:05.019235
1500000,871776,199,58,555003,2020-10-28 13:44:05.029235
1590000,1117776,210,62,555003,2020-10-28 13:44:05.039235
2000000,1047610,223,80,555003,2020-10-28 13:44:05.049235
1328000,855776,195,59,555003,2020-10-28 13:44:05.059235
1640000,943776,206,54,555003,2020-10-28 13:44:05.069235
1559100,855612,198,70,555003,2020-10-28 13:44:05.079235
1400000,881776,203,62,555003,2020-10-28 13:44:05.089235
2220000,1017610,223,74,555003,2020-10-28 13:44:05.099235
1510000,973776,204,70,555003,2020-10-28 13:44:05.109235
1660000,969054,215,62,555003,2020-10-28 13:44:05.119235
1621000,998352,204,68,555003,2020-10-28 13:44:05.129235
2050000,1124610,225,69,555003,2020-10-28 13:44:05.139235
1770000,928054,213,67,555003,2020-10-28 13:44:05.149235
2500000,1076444,235,94,555003,2020-10-28 13:44:05.159235
1217000,774776,193,51,555003,2020-10-28 13:44:05.169235
1779000,998610,214,63,555003,2020-10-28 13:44:05.179235
2580000,1180444,240,90,555003,2020-10-28 13:44:05.189235
1753000,1015332,204,63,555003,2020-10-28 13:44:05.199235
1360000,915776,206,54,555003,2020-10-28 13:44:05.209235
2014000,995888,214,71,555003,2020-10-28 13:44:05.219235
1289000,772498,190,53,555003,2020-10-28 13:44:05.229235
1950000,1086332,220,72,555003,2020-10-28 13:44:05.239235
1513010,777110,191,72,555003,2020-10-28 13:44:05.249235
1590000,957054,207,67,555003,2020-10-28 13:44:05.259235
1534000,914332,203,59,555003,2020-10-28 13:44:05.269235
2000000,1020054,215,54,555003,2020-10-28 13:44:05.279235
1578000,941054,198,59,555003,2020-10-28 13:44:05.289235
1860000,860332,210,66,555003,2020-10-28 13:44:05.299235
1880000,1012332,220,64,555003,2020-10-28 13:44:05.309235
1650000,1030054,213,58,555003,2020-10-28 13:44:05.319235
2150000,1064888,226,83,555003,2020-10-28 13:44:05.329235
2130000,1074610,223,78,555003,2020-10-28 13:44:05.339235
2270000,1139166,231,88,555003,2020-10-28 13:44:05.349235
1693000,781630,206,66,555003,2020-10-28 13:44:05.359235
2170000,1008610,223,83,555003,2020-10-28 13:44:05.369235
2060000,1118610,225,73,555003,2020-10-28 13:44:05.379235
1604000,905332,200,62,555003,2020-10-28 13:44:05.389235
2440000,1174166,235,77,555003,2020-10-28 13:44:05.399235
1600000,1065776,210,60,555003,2020-10-28 13:44:05.409235
1533000,860352,203,69,555003,2020-10-28 13:44:05.419235
1540000,897776,208,55,555003,2020-10-28 13:44:05.429235
1850000,1044332,220,63,555003,2020-10-28 13:44:05.439235
1720000,1029054,213,62,555003,2020-10-28 13:44:05.449235
1490000,903776,199,57,555003,2020-10-28 13:44:05.459235
1580000,1003776,204,64,555003,2020-10-28 13:44:05.469235
1990000,1147610,225,70,555003,2020-10-28 13:44:05.479235
1384000,789054,189,62,555003,2020-10-28 13:44:05.489235
