PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1980000,1026610,219,75,555005,2020-10-28 13:44:16.549672
1984000,990088,212,71,555005,2020-10-28 13:44:16.559672
1570000,849776,206,54,555005,2020-10-28 13:44:16.569672
1930000,912332,216,69,555005,2020-10-28 13:44:16.579672
1760000,997054,213,65,555005,2020-10-28 13:44:16.589672
1423000,791276,193,57,555005,2020-10-28 13:44:16.599672
1470000,921498,203,54,555005,2020-10-28 13:44:16.609672
1555000,955254,200,56,555005,2020-10-28 13:44:16.619672
2180000,1107610,223,78,555005,2020-10-28 13:44:16.629672
1359000,873776,202,66,555005,2020-10-28 13:44:16.639672
1560000,889054,209,70,555005,2020-10-28 13:44:16.649672
1570000,918498,203,54,555005,2020-10-28 13:44:16.659672
1834000,936610,208,70,555005,2020-10-28 13:44:16.669672
1370000,1001498,198,62,555005,2020-10-28 13:44:16.679672
1800000,838054,209,65,555005,2020-10-28 13:44:16.689672
1640000,950054,207,60,555005,2020-10-28 13:44:16.699672
1358000,824776,197,60,555005,2020-10-28 13:44:16.709672
1944000,947630,210,64,555005,2020-10-28 13:44:16.719672
1511000,844776,192,64,555005,2020-10-28 13:44:16.729672
1500000,1007776,206,54,555005,2020-10-28 13:44:16.739672
1568000,901054,200,48,555005,2020-10-28 13:44:16.749672
1830000,888610,210,76,555005,2020-10-28 13:44:16.759672
1710000,956610,212,72,555005,2020-10-28 13:44:16.769672
1730000,980054,211,64,555005,2020-10-28 13:44:16.779672
1929000,970610,212,74,555005,2020-10-28 13:44:16.789672
1363000,920054,195,59,555005,2020-10-28 13:44:16.799672
1894000,911888,212,68,555005,2020-10-28 13:44:16.809672
1458000,718610,188,60,555005,2020-10-28 13:44:16.819672
1490000,962776,204,65,555005,2020-10-28 13:44:16.829672
1360000,829498,195,62,555005,2020-10-28 13:44:16.839672
1740000,980054,213,65,555005,2020-10-28 13:44:16.849672
1660000,944776,208,51,555005,2020-10-28 13:44:16.859672
2110000,1038610,225,72,555005,2020-10-28 13:44:16.869672
1600000,898054,209,70,555005,2020-10-28 13:44:16.879672
2005000,1051888,215,74,555005,2020-10-28 13:44:16.889672
1580000,1045776,210,53,555005,2020-10-28 13:44:16.899672
1360000,917220,198,50,555005,2020-10-28 13:44:16.909672
1620000,945776,206,67,555005,2020-10-28 13:44:16.919672
1667000,829776,197,61,555005,2020-10-28 13:44:16.929672
1607000,1018054,205,56,555005,2020-10-28 13:44:16.939672
1720000,1042332,216,71,555005,2020-10-28 13:44:16.949672
1690000,1028054,213,70,555005,2020-10-28 13:44:16.959672
1600000,851498,196,63,555005,2020-10-28 13:44:16.969672
1940000,1040054,215,56,555005,2020-10-28 13:44:16.979672
1810000,978054,213,59,555005,2020-10-28 13:44:16.989672
1277000,765498,187,61,555005,2020-10-28 13:44:16.999672
1760000,990498,203,60,555005,2020-10-28 13:44:17.009672
2000000,1077776,210,68,555005,2020-10-28 13:44:17.019672
1650000,846054,209,69,555005,2020-10-28 13:44:17.029672
1449000,875332,203,67,555005,2020-10-28 13:44:17.039672
1777000,929332,202,57,555005,2020-10-28 13:44:17.049672
2010000,1062054,215,56,555005,2020-10-28 13:44:17.059672
2560000,1115166,235,78,555005,2020-10-28 13:44:17.069672
1338000,786336,188,53,555005,2020-10-28 13:44:17.079672
2250000,1134888,230,78,555005,2020-10-28 13:44:17.089672
1570000,899054,207,63,555005,2020-10-28 13:44:17.099672
1840000,1034332,220,70,555005,2020-10-28 13:44:17.109672
1730100,878332,202,65,555005,2020-10-28 13:44:17.119672
1680000,1043776,210,49,555005,2020-10-28 13:44:17.129672
1720000,877610,208,76,555005,2020-10-28 13:44:17.139672
1840000,954054,213,69,555005,2020-10-28 13:44:17.149672
1830000,953888,219,76,555005,2020-10-28 13:44:17.159672
1500000,973776,203,65,555005,2020-10-28 13:44:17.169672
1790000,1025776,210,60,555005,2020-10-28 13:44:17.179672
1960000,1039332,220,72,555005,2020-10-28 13:44:17.189672
1860000,959054,213,68,555005,2020-10-28 13:44:17.199672
1764000,916110,208,67,555005,2020-10-28 13:44:17.209672
1527000,929054,198,62,555005,2020-10-28 13:44:17.219672
1490000,916054,203,70,555005,2020-10-28 13:44:17.229672
1880000,1110332,220,67,555005,2020-10-28 13:44:17.239672
930000,738254,181,51,555005,2020-10-28 13:44:17.249672
1310000,821776,208,62,555005,2020-10-28 13:44:17.259672
2000000,1078610,225,67,555005,2020-10-28 13:44:17.269672
1648000,942054,204,57,555005,2020-10-28 13:44:17.279672
1373000,837054,196,64,555005,2020-10-28 13:44:17.289672
1650000,839776,206,54,555005,2020-10-28 13:44:17.299672
1590000,1053776,210,49,555005,2020-10-28 13:44:17.309672
2070000,1078610,225,73,555005,2020-10-28 13:44:17.319672
1390000,971498,203,63,555005,2020-10-28 13:44:17.329672
2250000,1118610,225,76,555005,2020-10-28 13:44:17.339672
1870000,948054,215,56,555005,2020-10-28 13:44:17.349672
1699000,895332,205,68,555005,2020-10-28 13:44:17.359672
1614000,841332,196,66,555005,2020-10-28 13:44:17.369672
2320000,1093166,233,83,555005,2020-10-28 13:44:17.379672
1670000,1020054,213,65,555005,2020-10-28 13:44:17.389672
1880000,1014054,215,65,555005,2020-10-28 13:44:17.399672
1867000,949610,207,73,555005,2020-10-28 13:44:17.409672
1850000,998054,213,72,555005,2020-10-28 13:44:17.419672
1910000,1021332,220,66,555005,2020-10-28 13:44:17.429672
2204000,1079444,224,86,555005,2020-10-28 13:44:17.439672
1650000,916054,208,63,555005,2020-10-28 13:44:17.449672
1468000,834054,201,65,555005,2020-10-28 13:44:17.459672
1760000,1090054,215,58,555005,2020-10-28 13:44:17.469672
1640000,900054,211,67,555005,2020-10-28 13:44:17.479672
1805000,923610,206,71,555005,2020-10-28 13:44:17.489672
1250000,895220,193,48,555005,2020-10-28 13:44:17.499672
1660000,1054776,210,60,555005,2020-10-28 13:44:17.509672
1520000,1004776,210,51,555005,2020-10-28 13:44:17.519672
1308000,721776,187,52,555005,2020-10-28 13:44:17.529672
1280000,796054,184,51,555005,2020-10-28 13:44:17.539672
2230000,1110888,230,82,555005,2020-10-28 13:44:17.549672
1520000,820776,199,56,555005,2020-10-28 13:44:17.559672
1890000,1038054,209,59,555005,2020-10-28 13:44:17.569672
2040000,1022332,213,66,555005,2020-10-28 13:44:17.579672
1550000,955776,204,57,555005,2020-10-28 13:44:17.589672
1930000,951332,218,78,555005,2020-10-28 13:44:17.599672
1690000,908054,211,65,555005,2020-10-28 13:44:17.609672
1550000,929498,205,44,555005,2020-10-28 13:44:17.619672
2010000,1077610,223,76,555005,2020-10-28 13:44:17.629672
1490000,832776,201,61,555005,2020-10-28 13:44:17.639672
2077000,1021166,224,84,555005,2020-10-28 13:44:17.649672
1610000,967776,208,52,555005,2020-10-28 13:44:17.659672
2228000,1024444,225,86,555005,2020-10-28 13:44:17.669672
1859000,926610,208,73,555005,2020-10-28 13:44:17.679672
1730000,997054,213,62,555005,2020-10-28 13:44:17.689672
1560000,1053776,210,52,555005,2020-10-28 13:44:17.699672
1370000,911498,197,52,555005,2020-10-28 13:44:17.709672
1440000,915776,204,48,555005,2020-10-28 13:44:17.719672
1710000,997054,213,60,555005,2020-10-28 13:44:17.729672
1580000,930776,204,57,555005,2020-10-28 13:44:17.739672
2270000,1020166,227,88,555005,2020-10-28 13:44:17.749672
1450000,965776,204,61,555005,2020-10-28 13:44:17.759672
1810000,983332,216,72,555005,2020-10-28 13:44:17.769672
1857000,911610,207,62,555005,2020-10-28 13:44:17.779672
1890000,1003332,216,63,555005,2020-10-28 13:44:17.789672
1810000,1064332,214,64,555005,2020-10-28 13:44:17.799672
1565000,881332,202,58,555005,2020-10-28 13:44:17.809672
1350100,912778,194,57,555005,2020-10-28 13:44:17.819672
2040000,1107610,221,72,555005,2020-10-28 13:44:17.829672
2150000,1159610,225,77,555005,2020-10-28 13:44:17.839672
2020000,1068610,220,80,555005,2020-10-28 13:44:17.849672
2030000,1032610,223,72,555005,2020-10-28 13:44:17.859672
1810000,1093776,210,62,555005,2020-10-28 13:44:17.869672
1820000,1049054,215,56,555005,2020-10-28 13:44:17.879672
2400000,1123888,230,76,555005,2020-10-28 13:44:17.889672
1810000,1040054,215,55,555005,2020-10-28 13:44:17.899672
1680000,1088054,215,52,555005,2020-10-28 13:44:17.909672
1370000,919498,201,58,555005,2020-10-28 13:44:17.919672
1790000,1023332,218,69,555005,2020-10-28 13:44:17.929672
1509000,884110,195,60,555005,2020-10-28 13:44:17.939672
2160000,1134610,225,83,555005,2020-10-28 13:44:17.949672
1670000,972776,208,55,555005,2020-10-28 13:44:17.959672
1400000,851776,206,57,555005,2020-10-28 13:44:17.969672
1560000,867776,206,65,555005,2020-10-28 13:44:17.979672
1980000,1062332,220,67,555005,2020-10-28 13:44:17.989672
2000000,1082332,220,65,555005,2020-10-28 13:44:17.999672
1504000,955254,199,53,555005,2020-10-28 13:44:18.009672
1729000,1031610,214,73,555005,2020-10-28 13:44:18.019672
1960000,1043332,218,73,555005,2020-10-28 13:44:18.029672
2380000,1141888,230,79,555005,2020-10-28 13:44:18.039672
1910000,878332,214,82,555005,2020-10-28 13:44:18.049672
1437000,853054,196,52,555005,2020-10-28 13:44:18.059672
1310000,726498,195,66,555005,2020-10-28 13:44:18.069672
1895000,906388,213,73,555005,2020-10-28 13:44:18.079672
1680000,958054,207,62,555005,2020-10-28 13:44:18.089672
1950000,1030054,215,67,555005,2020-10-28 13:44:18.099672
1900000,1003332,214,72,555005,2020-10-28 13:44:18.109672
1491000,825254,198,64,555005,2020-10-28 13:44:18.119672
1708000,978054,205,54,555005,2020-10-28 13:44:18.129672
1560000,750776,204,54,555005,2020-10-28 13:44:18.139672
1033000,740054,177,58,555005,2020-10-28 13:44:18.149672
1190000,927220,195,52,555005,2020-10-28 13:44:18.159672
1370000,717498,195,61,555005,2020-10-28 13:44:18.169672
1850000,1080054,215,64,555005,2020-10-28 13:44:18.179672
1510000,881776,210,54,555005,2020-10-28 13:44:18.189672
1860000,1073610,221,76,555005,2020-10-28 13:44:18.199672
1810000,1040054,211,71,555005,2020-10-28 13:44:18.209672
941000,599054,175,60,555005,2020-10-28 13:44:18.219672
1483000,856810,198,66,555005,2020-10-28 13:44:18.229672
1680010,980334,205,58,555005,2020-10-28 13:44:18.239672
1284000,813776,193,47,555005,2020-10-28 13:44:18.249672
1649000,919610,208,72,555005,2020-10-28 13:44:18.259672
1420000,1014776,208,57,555005,2020-10-28 13:44:18.269672
1600000,1001498,205,60,555005,2020-10-28 13:44:18.279672
1990000,1096332,220,70,555005,2020-10-28 13:44:18.289672
1790000,988332,218,66,555005,2020-10-28 13:44:18.299672
2020000,1144332,220,65,555005,2020-10-28 13:44:18.309672
1538000,801054,191,52,555005,2020-10-28 13:44:18.319672
1640000,985776,208,61,555005,2020-10-28 13:44:18.329672
2080000,1115610,225,73,555005,2020-10-28 13:44:18.339672
1830000,844054,213,75,555005,2020-10-28 13:44:18.349672
2090000,1072332,220,76,555005,2020-10-28 13:44:18.359672
2140000,1153610,225,63,555005,2020-10-28 13:44:18.369672
1580000,852776,206,59,555005,2020-10-28 13:44:18.379672
1569000,884610,203,78,555005,2020-10-28 13:44:18.389672
2240000,1078610,223,75,555005,2020-10-28 13:44:18.399672
2190000,1110610,225,72,555005,2020-10-28 13:44:18.409672
1790000,960054,213,69,555005,2020-10-28 13:44:18.419672
1750000,990054,213,64,555005,2020-10-28 13:44:18.429672
1620000,810332,207,74,555005,2020-10-28 13:44:18.439672
1527000,907054,203,59,555005,2020-10-28 13:44:18.449672
1800000,899332,212,76,555005,2020-10-28 13:44:18.459672
1860000,1031054,215,62,555005,2020-10-28 13:44:18.469672
1450000,972776,206,70,555005,2020-10-28 13:44:18.479672
1467000,839776,195,71,555005,2020-10-28 13:44:18.489672
2060000,1071332,220,68,555005,2020-10-28 13:44:18.499672
1520000,905776,201,57,555005,2020-10-28 13:44:18.509672
1525000,710110,188,69,555005,2020-10-28 13:44:18.519672
1650000,917498,201,60,555005,2020-10-28 13:44:18.529672
1690000,865054,208,71,555005,2020-10-28 13:44:18.539672
1124000,782976,190,52,555005,2020-10-28 13:44:18.549672
1970000,961610,221,80,555005,2020-10-28 13:44:18.559672
1720000,1007054,213,58,555005,2020-10-28 13:44:18.569672
1690000,965776,208,64,555005,2020-10-28 13:44:18.579672
1554000,887056,198,60,555005,2020-10-28 13:44:18.589672
1540000,1069776,210,56,555005,2020-10-28 13:44:18.599672
2180000,1056610,225,77,555005,2020-10-28 13:44:18.609672
1363000,900054,193,57,555005,2020-10-28 13:44:18.619672
1690000,828054,200,63,555005,2020-10-28 13:44:18.629672
2168000,978610,213,72,555005,2020-10-28 13:44:18.639672
1770000,958054,208,68,555005,2020-10-28 13:44:18.649672
2110000,1084610,225,66,555005,2020-10-28 13:44:18.659672
2050000,1137610,225,74,555005,2020-10-28 13:44:18.669672
1920000,1115610,223,77,555005,2020-10-28 13:44:18.679672
1910000,1090054,215,65,555005,2020-10-28 13:44:18.689672
2020000,1100054,215,63,555005,2020-10-28 13:44:18.699672
1490000,933776,202,55,555005,2020-10-28 13:44:18.709672
1700000,979054,211,69,555005,2020-10-28 13:44:18.719672
2191000,1066166,219,76,555005,2020-10-28 13:44:18.729672
1800000,987776,208,62,555005,2020-10-28 13:44:18.739672
1440000,959498,199,63,555005,2020-10-28 13:44:18.749672
1830000,1119054,215,63,555005,2020-10-28 13:44:18.759672
2220000,1067888,228,79,555005,2020-10-28 13:44:18.769672
1534000,879532,203,56,555005,2020-10-28 13:44:18.779672
1700000,926332,209,65,555005,2020-10-28 13:44:18.789672
1360000,939498,200,53,555005,2020-10-28 13:44:18.799672
1870000,1052054,215,64,555005,2020-10-28 13:44:18.809672
1910000,999332,218,80,555005,2020-10-28 13:44:18.819672
1920000,983610,219,70,555005,2020-10-28 13:44:18.829672
1940000,1080054,215,70,555005,2020-10-28 13:44:18.839672
1634000,740610,192,57,555005,2020-10-28 13:44:18.849672
1950000,1059610,223,72,555005,2020-10-28 13:44:18.859672
1970000,1008610,221,79,555005,2020-10-28 13:44:18.869672
2050000,1088610,221,74,555005,2020-10-28 13:44:18.879672
1860000,981332,216,73,555005,2020-10-28 13:44:18.889672
2060000,1072332,220,77,555005,2020-10-28 13:44:18.899672
1800000,959054,211,63,555005,2020-10-28 13:44:18.909672
1750000,965776,206,61,555005,2020-10-28 13:44:18.919672
1940000,1102332,220,71,555005,2020-10-28 13:44:18.929672
1764000,925630,205,70,555005,2020-10-28 13:44:18.939672
2030000,952332,216,70,555005,2020-10-28 13:44:18.949672
2020000,1036610,223,85,555005,2020-10-28 13:44:18.959672
1750000,972332,214,64,555005,2020-10-28 13:44:18.969672
1500000,1013776,208,60,555005,2020-10-28 13:44:18.979672
1540000,975776,208,62,555005,2020-10-28 13:44:18.989672
2250000,1154888,230,86,555005,2020-10-28 13:44:18.999672
1364000,887554,192,75,555005,2020-10-28 13:44:19.009672
1760000,1065776,210,52,555005,2020-10-28 13:44:19.019672
1950000,1049054,215,61,555005,2020-10-28 13:44:19.029672
1960000,1102332,220,63,555005,2020-10-28 13:44:19.039672
1640000,1070054,213,72,555005,2020-10-28 13:44:19.049672
1541000,877254,197,57,555005,2020-10-28 13:44:19.059672
2320000,1143888,230,84,555005,2020-10-28 13:44:19.069672
1259000,647054,196,64,555005,2020-10-28 13:44:19.079672
1641000,826334,202,66,555005,2020-10-28 13:44:19.089672
1910000,1073332,220,59,555005,2020-10-28 13:44:19.099672
1370000,949498,203,47,555005,2020-10-28 13:44:19.109672
1810000,1042054,215,66,555005,2020-10-28 13:44:19.119672
1520000,955776,200,70,555005,2020-10-28 13:44:19.129672
1530000,861776,198,70,555005,2020-10-28 13:44:19.139672
1689000,986332,209,63,555005,2020-10-28 13:44:19.149672
1628000,935610,208,63,555005,2020-10-28 13:44:19.159672
1600000,784332,194,59,555005,2020-10-28 13:44:19.169672
1528000,942054,204,55,555005,2020-10-28 13:44:19.179672
1930000,1043332,220,63,555005,2020-10-28 13:44:19.189672
2031000,1042888,214,72,555005,2020-10-28 13:44:19.199672
2000000,1113332,220,71,555005,2020-10-28 13:44:19.209672
2010000,1053332,215,75,555005,2020-10-28 13:44:19.219672
1900000,868054,213,61,555005,2020-10-28 13:44:19.229672
2010000,1098610,223,79,555005,2020-10-28 13:44:19.239672
1549000,955332,209,55,555005,2020-10-28 13:44:19.249672
2060000,1067610,225,73,555005,2020-10-28 13:44:19.259672
1690000,1025776,210,54,555005,2020-10-28 13:44:19.269672
1425000,795056,194,66,555005,2020-10-28 13:44:19.279672
1430000,1051498,205,53,555005,2020-10-28 13:44:19.289672
1740000,987776,210,53,555005,2020-10-28 13:44:19.299672
1757000,899610,208,75,555005,2020-10-28 13:44:19.309672
1187000,949498,199,54,555005,2020-10-28 13:44:19.319672
1894000,923610,207,68,555005,2020-10-28 13:44:19.329672
1814000,940352,204,60,555005,2020-10-28 13:44:19.339672
1770000,1054332,214,76,555005,2020-10-28 13:44:19.349672
1900000,957332,209,62,555005,2020-10-28 13:44:19.359672
1710000,1037054,213,58,555005,2020-10-28 13:44:19.369672
1547000,877332,207,62,555005,2020-10-28 13:44:19.379672
1610000,1085776,210,63,555005,2020-10-28 13:44:19.389672
1950000,957054,213,62,555005,2020-10-28 13:44:19.399672
1860000,1054332,218,65,555005,2020-10-28 13:44:19.409672
2160000,1088610,223,71,555005,2020-10-28 13:44:19.419672
1339000,856552,193,55,555005,2020-10-28 13:44:19.429672
1930000,1070054,215,56,555005,2020-10-28 13:44:19.439672
1580000,907054,211,66,555005,2020-10-28 13:44:19.449672
1690000,948332,215,62,555005,2020-10-28 13:44:19.459672
1787000,868166,209,74,555005,2020-10-28 13:44:19.469672
1689000,1030610,214,75,555005,2020-10-28 13:44:19.479672
1877000,974888,213,76,555005,2020-10-28 13:44:19.489672
1169010,816254,188,50,555005,2020-10-28 13:44:19.499672
2090000,966610,223,79,555005,2020-10-28 13:44:19.509672
1741000,932332,202,67,555005,2020-10-28 13:44:19.519672
2000000,1137610,225,78,555005,2020-10-28 13:44:19.529672
1790000,1000054,213,57,555005,2020-10-28 13:44:19.539672
1714000,916610,206,68,555005,2020-10-28 13:44:19.549672
1860000,1032054,215,75,555005,2020-10-28 13:44:19.559672
1469000,752332,199,76,555005,2020-10-28 13:44:19.569672
1860000,781776,202,68,555005,2020-10-28 13:44:19.579672
1727000,905332,201,58,555005,2020-10-28 13:44:19.589672
1828000,1007332,209,61,555005,2020-10-28 13:44:19.599672
