PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1820000,981332,215,71,555006,2020-10-28 13:44:23.371668
2000000,994332,218,77,555006,2020-10-28 13:44:23.381668
1610000,1028054,213,70,555006,2020-10-28 13:44:23.391668
1434000,868334,202,68,555006,2020-10-28 13:44:23.401668
1800000,937054,215,63,555006,2020-10-28 13:44:23.411668
2080000,1102332,220,70,555006,2020-10-28 13:44:23.421668
1820000,1042054,215,55,555006,2020-10-28 13:44:23.431668
1620000,1015776,208,61,555006,2020-10-28 13:44:23.441668
1594000,891776,195,58,555006,2020-10-28 13:44:23.451668
2220000,1035610,220,73,555006,2020-10-28 13:44:23.461668
1310000,805498,197,56,555006,2020-10-28 13:44:23.471668
2010000,1062332,220,68,555006,2020-10-28 13:44:23.481668
1493000,869532,195,73,555006,2020-10-28 13:44:23.491668
2250000,1160888,230,81,555006,2020-10-28 13:44:23.501668
1660000,944776,206,63,555006,2020-10-28 13:44:23.511668
1734000,983332,204,65,555006,2020-10-28 13:44:23.521668
1780000,971332,212,75,555006,2020-10-28 13:44:23.531668
1950000,978332,218,71,555006,2020-10-28 13:44:23.541668
1650000,1055776,210,56,555006,2020-10-28 13:44:23.551668
2110000,1108610,225,77,555006,2020-10-28 13:44:23.561668
1784000,967610,207,67,555006,2020-10-28 13:44:23.571668
1340100,783074,193,58,555006,2020-10-28 13:44:23.581668
1940000,1090054,215,59,555006,2020-10-28 13:44:23.591668
2000000,1097610,221,70,555006,2020-10-28 13:44:23.601668
1450000,961498,205,50,555006,2020-10-28 13:44:23.611668
1650000,924054,210,69,555006,2020-10-28 13:44:23.621668
1581000,974554,199,51,555006,2020-10-28 13:44:23.631668
1594000,896554,198,57,555006,2020-10-28 13:44:23.641668
1675100,818890,198,63,555006,2020-10-28 13:44:23.651668
1950000,1095610,225,72,555006,2020-10-28 13:44:23.661668
1880000,1026332,218,77,555006,2020-10-28 13:44:23.671668
1850000,998054,213,67,555006,2020-10-28 13:44:23.681668
1630000,994776,210,53,555006,2020-10-28 13:44:23.691668
1820000,1124054,215,58,555006,2020-10-28 13:44:23.701668
1217000,725332,190,61,555006,2020-10-28 13:44:23.711668
1820000,1040054,213,70,555006,2020-10-28 13:44:23.721668
2160000,1111888,228,75,555006,2020-10-28 13:44:23.731668
1553000,938054,197,56,555006,2020-10-28 13:44:23.741668
1530000,959498,203,56,555006,2020-10-28 13:44:23.751668
1860000,1012332,218,69,555006,2020-10-28 13:44:23.761668
1415100,838832,189,61,555006,2020-10-28 13:44:23.771668
1300000,739776,192,68,555006,2020-10-28 13:44:23.781668
1840000,974332,210,73,555006,2020-10-28 13:44:23.791668
2010000,1049610,217,74,555006,2020-10-28 13:44:23.801668
2120000,1062888,228,74,555006,2020-10-28 13:44:23.811668
1363000,794532,191,48,555006,2020-10-28 13:44:23.821668
1860000,1030054,215,60,555006,2020-10-28 13:44:23.831668
2460000,1155166,235,83,555006,2020-10-28 13:44:23.841668
1850000,925054,211,71,555006,2020-10-28 13:44:23.851668
1450000,1044776,208,59,555006,2020-10-28 13:44:23.861668
1374000,807054,191,63,555006,2020-10-28 13:44:23.871668
1608000,936332,200,63,555006,2020-10-28 13:44:23.881668
1990000,1102332,220,66,555006,2020-10-28 13:44:23.891668
2320000,1147888,230,82,555006,2020-10-28 13:44:23.901668
1840000,992332,216,73,555006,2020-10-28 13:44:23.911668
1400000,922776,208,60,555006,2020-10-28 13:44:23.921668
1750000,891332,210,71,555006,2020-10-28 13:44:23.931668
1807000,1019610,210,71,555006,2020-10-28 13:44:23.941668
2250000,1057444,229,86,555006,2020-10-28 13:44:23.951668
1680000,914776,206,62,555006,2020-10-28 13:44:23.961668
1900000,1100054,215,62,555006,2020-10-28 13:44:23.971668
2160000,1038610,223,75,555006,2020-10-28 13:44:23.981668
1830000,962332,216,75,555006,2020-10-28 13:44:23.991668
1720000,967054,211,72,555006,2020-10-28 13:44:24.001668
1361000,892778,194,49,555006,2020-10-28 13:44:24.011668
1580000,938332,212,67,555006,2020-10-28 13:44:24.021668
1520000,919498,203,51,555006,2020-10-28 13:44:24.031668
1350000,789498,201,53,555006,2020-10-28 13:44:24.041668
1680000,1028054,213,72,555006,2020-10-28 13:44:24.051668
1400000,877220,193,48,555006,2020-10-28 13:44:24.061668
2170000,1026610,223,79,555006,2020-10-28 13:44:24.071668
1270000,768498,193,58,555006,2020-10-28 13:44:24.081668
1870000,1080054,215,61,555006,2020-10-28 13:44:24.091668
1660000,936054,211,64,555006,2020-10-28 13:44:24.101668
1640000,1040054,209,62,555006,2020-10-28 13:44:24.111668
2120000,1151888,230,85,555006,2020-10-28 13:44:24.121668
1960000,916054,213,66,555006,2020-10-28 13:44:24.131668
1680000,908054,213,60,555006,2020-10-28 13:44:24.141668
1440000,838054,199,79,555006,2020-10-28 13:44:24.151668
2100000,992332,218,67,555006,2020-10-28 13:44:24.161668
1681000,907610,207,69,555006,2020-10-28 13:44:24.171668
1840000,1039054,215,58,555006,2020-10-28 13:44:24.181668
1522000,753810,193,67,555006,2020-10-28 13:44:24.191668
2360000,1147888,230,71,555006,2020-10-28 13:44:24.201668
1430000,899498,197,58,555006,2020-10-28 13:44:24.211668
2138000,1021610,209,75,555006,2020-10-28 13:44:24.221668
1658000,849610,201,69,555006,2020-10-28 13:44:24.231668
1600000,1051498,205,43,555006,2020-10-28 13:44:24.241668
1490000,931498,203,52,555006,2020-10-28 13:44:24.251668
1534000,938334,200,59,555006,2020-10-28 13:44:24.261668
1994000,908088,212,73,555006,2020-10-28 13:44:24.271668
1510000,846054,204,68,555006,2020-10-28 13:44:24.281668
1470000,919498,199,57,555006,2020-10-28 13:44:24.291668
1770000,903776,206,66,555006,2020-10-28 13:44:24.301668
1547000,895054,198,48,555006,2020-10-28 13:44:24.311668
1221000,776698,187,42,555006,2020-10-28 13:44:24.321668
1890000,909332,213,81,555006,2020-10-28 13:44:24.331668
1800000,930332,216,73,555006,2020-10-28 13:44:24.341668
1193000,837054,194,60,555006,2020-10-28 13:44:24.351668
2000000,1097610,221,72,555006,2020-10-28 13:44:24.361668
2080000,1021332,220,64,555006,2020-10-28 13:44:24.371668
1340000,791776,196,66,555006,2020-10-28 13:44:24.381668
1243000,843776,195,46,555006,2020-10-28 13:44:24.391668
2070000,1054610,225,70,555006,2020-10-28 13:44:24.401668
1580000,997054,211,69,555006,2020-10-28 13:44:24.411668
2450000,1161166,235,91,555006,2020-10-28 13:44:24.421668
1530000,933776,210,56,555006,2020-10-28 13:44:24.431668
