PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
1760000,890332,214,76,555009,2020-10-28 13:44:39.811071
1830000,969332,214,73,555009,2020-10-28 13:44:39.821071
1720000,957054,209,70,555009,2020-10-28 13:44:39.831071
1240000,936776,199,53,555009,2020-10-28 13:44:39.841071
1130000,817498,192,53,555009,2020-10-28 13:44:39.851071
1709000,969610,212,75,555009,2020-10-28 13:44:39.861071
1580000,985776,206,68,555009,2020-10-28 13:44:39.871071
1870000,1020054,213,74,555009,2020-10-28 13:44:39.881071
1710000,923776,210,57,555009,2020-10-28 13:44:39.891071
1670000,1047054,213,68,555009,2020-10-28 13:44:39.901071
1420010,899054,195,65,555009,2020-10-28 13:44:39.911071
2250000,1093610,225,75,555009,2020-10-28 13:44:39.921071
1780000,1024776,210,65,555009,2020-10-28 13:44:39.931071
1880000,1094332,220,69,555009,2020-10-28 13:44:39.941071
1740000,1010054,215,60,555009,2020-10-28 13:44:39.951071
1379000,840054,200,68,555009,2020-10-28 13:44:39.961071
2020000,1060054,215,70,555009,2020-10-28 13:44:39.971071
1930000,1034332,220,61,555009,2020-10-28 13:44:39.981071
2070000,1104610,225,73,555009,2020-10-28 13:44:39.991071
1660000,995776,208,61,555009,2020-10-28 13:44:40.001071
2131000,1020666,219,69,555009,2020-10-28 13:44:40.011071
1780000,1010332,218,67,555009,2020-10-28 13:44:40.021071
2120000,1111888,224,82,555009,2020-10-28 13:44:40.031071
1931000,936610,207,66,555009,2020-10-28 13:44:40.041071
2350000,1145166,233,86,555009,2020-10-28 13:44:40.051071
1263000,811832,183,64,555009,2020-10-28 13:44:40.061071
1850000,978054,213,69,555009,2020-10-28 13:44:40.071071
1870000,845776,204,65,555009,2020-10-28 13:44:40.081071
2370000,1163888,230,84,555009,2020-10-28 13:44:40.091071
1430000,851498,199,43,555009,2020-10-28 13:44:40.101071
2400000,1070888,230,78,555009,2020-10-28 13:44:40.111071
1507000,858054,199,62,555009,2020-10-28 13:44:40.121071
1750100,815610,204,75,555009,2020-10-28 13:44:40.131071
1510100,853254,195,59,555009,2020-10-28 13:44:40.141071
1980000,1101332,220,64,555009,2020-10-28 13:44:40.151071
1900000,1054332,220,74,555009,2020-10-28 13:44:40.161071
1700000,965776,208,58,555009,2020-10-28 13:44:40.171071
1860000,1093332,220,61,555009,2020-10-28 13:44:40.181071
2670000,1181444,240,90,555009,2020-10-28 13:44:40.191071
1250000,951498,195,65,555009,2020-10-28 13:44:40.201071
1590000,782776,204,56,555009,2020-10-28 13:44:40.211071
2010000,1114332,220,64,555009,2020-10-28 13:44:40.221071
1910000,983776,208,56,555009,2020-10-28 13:44:40.231071
1839000,964888,215,79,555009,2020-10-28 13:44:40.241071
1884000,937610,208,66,555009,2020-10-28 13:44:40.251071
1514000,763054,195,69,555009,2020-10-28 13:44:40.261071
1995000,1034166,214,82,555009,2020-10-28 13:44:40.271071
1580000,920054,209,66,555009,2020-10-28 13:44:40.281071
1383000,779610,194,64,555009,2020-10-28 13:44:40.291071
1500000,879776,206,63,555009,2020-10-28 13:44:40.301071
2090000,1116610,225,70,555009,2020-10-28 13:44:40.311071
2154000,997166,218,82,555009,2020-10-28 13:44:40.321071
1700000,1025776,210,68,555009,2020-10-28 13:44:40.331071
1950000,1072054,215,63,555009,2020-10-28 13:44:40.341071
2310000,1082888,230,73,555009,2020-10-28 13:44:40.351071
1518000,906332,199,74,555009,2020-10-28 13:44:40.361071
1810000,930610,212,73,555009,2020-10-28 13:44:40.371071
1400000,857220,198,45,555009,2020-10-28 13:44:40.381071
1700000,975776,210,57,555009,2020-10-28 13:44:40.391071
1820000,843610,213,76,555009,2020-10-28 13:44:40.401071
1749000,883332,209,71,555009,2020-10-28 13:44:40.411071
2230000,1112888,230,76,555009,2020-10-28 13:44:40.421071
1840000,950332,213,76,555009,2020-10-28 13:44:40.431071
1210010,726518,182,49,555009,2020-10-28 13:44:40.441071
1620000,1022054,213,63,555009,2020-10-28 13:44:40.451071
1740000,788332,212,75,555009,2020-10-28 13:44:40.461071
1291000,852776,193,55,555009,2020-10-28 13:44:40.471071
2100000,996610,221,76,555009,2020-10-28 13:44:40.481071
1790000,1000054,209,61,555009,2020-10-28 13:44:40.491071
1710000,959610,214,71,555009,2020-10-28 13:44:40.501071
1399000,830054,202,64,555009,2020-10-28 13:44:40.511071
1840000,973776,210,59,555009,2020-10-28 13:44:40.521071
1440000,979498,205,55,555009,2020-10-28 13:44:40.531071
1347000,771054,197,56,555009,2020-10-28 13:44:40.541071
1710000,1035776,204,75,555009,2020-10-28 13:44:40.551071
2270000,1144888,230,76,555009,2020-10-28 13:44:40.561071
1800000,995332,216,64,555009,2020-10-28 13:44:40.571071
2070000,1120888,225,76,555009,2020-10-28 13:44:40.581071
1760000,1013776,210,55,555009,2020-10-28 13:44:40.591071
1950000,1014332,215,72,555009,2020-10-28 13:44:40.601071
1600000,899498,201,68,555009,2020-10-28 13:44:40.611071
1790000,956610,215,78,555009,2020-10-28 13:44:40.621071
1589000,845332,200,69,555009,2020-10-28 13:44:40.631071
1720000,887054,207,73,555009,2020-10-28 13:44:40.641071
1694000,965612,207,68,555009,2020-10-28 13:44:40.651071
2210000,1138610,225,70,555009,2020-10-28 13:44:40.661071
2380000,1113888,228,81,555009,2020-10-28 13:44:40.671071
1800000,847054,211,67,555009,2020-10-28 13:44:40.681071
1558000,772110,192,64,555009,2020-10-28 13:44:40.691071
1579000,955332,204,71,555009,2020-10-28 13:44:40.701071
1430100,677554,193,56,555009,2020-10-28 13:44:40.711071
2140000,1034610,223,75,555009,2020-10-28 13:44:40.721071
1850000,918332,218,64,555009,2020-10-28 13:44:40.731071
1770000,920054,208,67,555009,2020-10-28 13:44:40.741071
1940000,980054,215,69,555009,2020-10-28 13:44:40.751071
1720000,988054,213,71,555009,2020-10-28 13:44:40.761071
